Prompt,Code
/* spawn a cube */,"// create new entity
const phone = new Entity()

// add its position
phone.addComponentOrReplace(new Transform({
  position: new Vector3(5, 1, 5),
  scale: new Vector3(0.5, 0.1, 0.2)
}))
phone.addComponentOrReplace(new BoxShape())

// add the enitities details
const material = new Material()
material.metallic = 0.9
material.roughness = 0.1

// add the details to the entity
phone.addComponent(material)

// add entity to the scene
engine.addEntity(phone)"
/* remove box */,
/* door material */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

//  Create a Transform component to position the door
const doorTransform = new Transform({
  position: new Vector3(8, 0, 8),
  scale: new Vector3(1, 2, 0.5)
})
door.addComponent(doorTransform)"
/* song list */ ,"// This parent entity holds the state for both door sides
const doorParent = new Entity()
doorParent.addComponent(
  new Transform({
    position: new Vector3(4, 1, 3)
  })
)"
/* function to open and close the door */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

// Create a function to open and close the door
function toggleDoor() {
  if (doorTransform.rotation.y === 0) {
    doorTransform.rotation.y = 1.57
  } else {
    doorTransform.rotation.y = 0
  }
}

// Create a clicking event to trigger the toggleDoor function
door.addComponent(
  new OnClick(() => {
    toggleDoor()
  })
)"
/* add a shape to the door */,"// fixed wall
const wall1 = new Entity()
wall1.addComponent(
  new Transform({
    position: new Vector3(4.5, 1, 4.1),
    scale: new Vector3(4, 3, 0.05),
  })
)
wall1.addComponent(new BoxShape())
engine.addEntity(wall1)"
/* clickable plane */,"// create the entity 
const plane = new Entity()

// transform the entity to give it a position
plane.addComponentOrReplace(new Transform({
  position: new Vector3(2, 1, 2)
}))

// add shape to the entity 
plane.addComponentOrReplace(new PlaneShape())

// render entity in scene
engine.addEntity(plane)"
/* create table */,"// creates sphere entity
const sphere = new Entity()
sphere.addComponentOrReplace(new Transform({
  position: new Vector3(5, 1, 5)
}))
sphere.addComponentOrReplace(new SphereShape())

engine.addEntity(sphere)"
,"
const sign = new Entity()
sign.addComponentOrReplace(new Transform({
  position: new Vector3(5, 1, 5)
}))
sign.addComponent(new TextShape(""Welcome to Decentraland!""))

// Define a material to color the sign red
const signMaterial = new Material()
signMaterial.albedoColor = Color3.Red()

// Assign the material to the door
sign.addComponent(signMaterial)

engine.addEntity(sign)"
/* function for sound when door opens and closes */,"// Environment
const stage = new Entity()
stage.addComponent(new GLTFShape('models/Theatre.glb'))
stage.addComponent(
  new Transform({
    position: new Vector3(8, 0, 8),
    rotation: Quaternion.Euler(0, 270, 0),
    scale: new Vector3(0.9, 1, 0.9),
  })
)
engine.addEntity(stage)"
/* door material */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

// Add a sound component to play a sound when the door opens or closes
const doorSound = new AudioClip('sounds/door-open-close.mp3')
const doorAudioSource = new AudioSource(doorSound)
door.addComponent(doorAudioSource)

// Modify the toggleDoor function to play a sound when the door opens or closes
function toggleDoorWithSound() {
  if (doorTransform.rotation.y === 0) {
    doorTransform.rotation.y = 1.57
    doorAudioSource.playOnce()
  } else {
    doorTransform.rotation.y = 0
    doorAudioSource.playOnce()
  }
}"
/* create box */ ,"// Create the player entity
const player = new Entity(""player"");
engine.addEntity(player);

// Add a transform component to the player
const playerTransform = new Transform({
  position: new Vector3(0, 0, 0),
  rotation: Quaternion.Euler(0, 0, 0),
  scale: new Vector3(1, 1, 1)
});
player.addComponentOrReplace(playerTransform);

// Add a GLTF shape component to the player
const playerGltf = new GLTFShape(""models/player.glb"");
player.addComponentOrReplace(playerGltf);"
/* clickable plane */,"// Environment
const stage = new Entity()
stage.addComponent(new GLTFShape('models/Theatre.glb'))
stage.addComponent(
  new Transform({
    position: new Vector3(8, 0, 8),
    rotation: Quaternion.Euler(0, 270, 0),
    scale: new Vector3(0.9, 1, 0.9),
  })
)
engine.addEntity(stage)"
,"// create the entity 
const cone = new Entity()

// transform the entity to give it a position
cone.addComponentOrReplace(new Transform({
  position: new Vector3(2, 1, 2)
}))

// add shape to the entity 
cone.addComponentOrReplace(new ConeShape())

// render entity in scene
engine.addEntity(cone)"
/* create cone */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

// Add a material component to the door Entity
const doorMaterial = new Material()
doorMaterial.albedoColor = Color3.FromHexString(""#8B5E3C"")
door.addComponent(doorMaterial)"
/* add smoke */ ,"// Create an entity
const box = new Entity()

// Give the entity a shape
box.addComponent(new BoxShape())

// Add the entity to the engine
engine.addEntity(box)
// Remove an entity from the engine
engine.removeEntity(box)"
/* create a texture */ ,"// create the entity 
const c = new Entity()

// transform the entity to give it a position
c.addComponentOrReplace(new Transform({
  position: new Vector3(2, 1, 2)
}))

// add shape to the entity 
c.addComponentOrReplace(new CylinderShape())

// render entity in scene
engine.addEntity(c)"
/* function for interacting with the door */,"import * as THREE from 'three';

// Create a new mesh and material for the water surface
const waterMesh = new THREE.Mesh(
  new THREE.PlaneGeometry(1000, 1000),
  new THREE.MeshBasicMaterial({ color: 0x0077be, transparent: true, opacity: 0.6 })
);

// Rotate the mesh to make it flat
waterMesh.rotation.x = -Math.PI / 2;"
/* create a sign */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

//  Create a Transform component to position the door
const doorTransform = new Transform({
  position: new Vector3(8, 0, 8),
  scale: new Vector3(1, 2, 0.5)
})
door.addComponent(doorTransform)"
/* create phone */,"const closedPos: Quaternion = Quaternion.Euler(0, 0, 0)

// Add actual door to scene. This entity doesn't rotate, its parent drags it with it.
const door = new Entity()
door.addComponent(
  new Transform({
    position: new Vector3(0.5, 0, 0),
    scale: new Vector3(1, 2, 0.05)
  })
)
door.addComponent(new BoxShape())
engine.addEntity(door)

// Define a material to color the door red
const doorMaterial = new Material()
doorMaterial.albedoColor = Color3.Red()
doorMaterial.metallic = 0.9
doorMaterial.roughness = 0.1

// Assign the material to the door
door.addComponent(doorMaterial)

// Define wrapper entity to rotate door. This is the entity that actually rotates.
const doorPivot = new Entity()
doorPivot.addComponent(
  new Transform({
    position: new Vector3(4, 1, 3),
    rotation: closedPos
  })
)
//doorPivot.addComponent(new DoorState())
engine.addEntity(doorPivot)

// Set the door as a child of doorPivot
door.setParent(doorPivot)"
/* create cone */,"// create variable to hold cylinder
const cylinder = new Entity()

// we transform the component to set the position
// of the sphere in the scene
cylinder.addComponentOrReplace(new Transform({
  position: new Vector3(2, 1, 2)
}))
cylinder.addComponentOrReplace(new CylinderShape())


// add the sphere to the scene
engine.addEntity(cylinder)"
/* nft frame */,"// Create the player entity
const player = new Entity(""player"");
engine.addEntity(player);

// Add a transform component to the player
const playerTransform = new Transform({
  position: new Vector3(0, 0, 0),
  rotation: Quaternion.Euler(0, 0, 0),
  scale: new Vector3(1, 1, 1)
});
player.addComponentOrReplace(playerTransform);

// Add a GLTF shape component to the player
const playerGltf = new GLTFShape(""models/player.glb"");
player.addComponentOrReplace(playerGltf);"
/* shark */,"const door = createDoor();

// Add a sound component to play a sound when the door opens or closes
const doorSound = new AudioClip('sounds/door-open-close.mp3')
const doorAudioSource = new AudioSource(doorSound)
door.addComponent(doorAudioSource)

// Modify the toggleDoor function to play a sound when the door opens or closes
function toggleDoorWithSound() {
  if (doorTransform.rotation.y === 0) {
    doorTransform.rotation.y = 1.57
    doorAudioSource.playOnce()
  } else {
    doorTransform.rotation.y = 0
    doorAudioSource.playOnce()
  }
}

// Update the OnClick event to trigger the toggleDoorWithSound function
door.addComponent(
  new OnClick(() => {
    toggleDoorWithSound()
  })
)"
/* on door hover */,"// NFT picture frame
const entity = new Entity()
const shapeComponent = new NFTShape(
  'ethereum://0x06012c8cf97bead5deae237070f9587f8e7a266d/229795',
  { color: Color3.Blue(), style: PictureFrameStyle.Gold_Carved }
)
entity.addComponent(shapeComponent)
entity.addComponent(
  new Transform({
    position: new Vector3(4, 1.5, 4),
  })
)
engine.addEntity(entity)"
/* function for interacting with the door */,"const plane = new Entity()
plane.addComponent(new Transform({
  position: new Vector3(5, 0, 5)
}))
plane.addComponent(new PlaneShape())
plane.addComponent(new OnClick(e => {
  log('Plane was clicked!')
}))

engine.addEntity(plane)"
/* create water */,
/* shark */,"function greet(name: string): void {
  log(""Hello, "" + name + ""!"")
}

greet(""John"") // Output: ""Hello, John!"""
/* defining door positions */,"// fixed wall
const wall1 = new Entity()
wall1.addComponent(
  new Transform({
    position: new Vector3(4.5, 1, 4.1),
    scale: new Vector3(4, 3, 0.05),
  })
)
wall1.addComponent(new BoxShape())
engine.addEntity(wall1)"
/* scene from theater glb */,"// Create the player entity
const player = new Entity(""player"");
engine.addEntity(player);

// Add a transform component to the player
const playerTransform = new Transform({
  position: new Vector3(0, 0, 0),
  rotation: Quaternion.Euler(0, 0, 0),
  scale: new Vector3(1, 1, 1)
});
player.addComponentOrReplace(playerTransform);

// Add a GLTF shape component to the player
const playerGltf = new GLTFShape(""models/player.glb"");
player.addComponentOrReplace(playerGltf);"
/* create a custom wheels component */,"// create the entity 
const box = new Entity()

// transform the entity to give it a position
box.addComponentOrReplace(new Transform({
  position: new Vector3(2, 1, 2)
}))

// add shape to the entity 
box.addComponentOrReplace(new BoxShape())

// render entity in scene
engine.addEntity(box)"
/* add a door */,"const sphere = new Entity()
sphere.addComponent(new Transform({
  position: new Vector3(5, 0, 5)
}))
sphere.addComponent(new SphereShape())
sphere.addComponent(new Material())

const originalColor = new Color3(1, 0, 0)
sphere.getComponent(Material).albedoColor = originalColor

sphere.addComponent(new OnClick(e => {
  const material = sphere.getComponent(Material)
  material.albedoColor = (material.albedoColor === (originalColor)) ? new Color3(0, 1, 0) : originalColor
}))

engine.addEntity(sphere)"
/* add a door */,"const sphere = new Entity()
sphere.addComponent(new Transform({
  position: new Vector3(5, 0, 5)
}))
sphere.addComponent(new SphereShape())
sphere.addComponent(new Material())

const originalColor = new Color3(1, 0, 0)
sphere.getComponent(Material).albedoColor = originalColor

sphere.addComponent(new OnClick(e => {
  const material = sphere.getComponent(Material)
  material.albedoColor = (material.albedoColor === (originalColor)) ? new Color3(0, 1, 0) : originalColor
}))

engine.addEntity(sphere)"
/* spawn a cube */,"// NFT picture frame
const entity = new Entity()
const shapeComponent = new NFTShape(
  'ethereum://0x06012c8cf97bead5deae237070f9587f8e7a266d/229795',
  { color: Color3.Blue(), style: PictureFrameStyle.Gold_Carved }
)
entity.addComponent(shapeComponent)
entity.addComponent(
  new Transform({
    position: new Vector3(4, 1.5, 4),
  })
)
engine.addEntity(entity)"
/* scene model from underwater.gltf */,"
const sign = new Entity()
sign.addComponentOrReplace(new Transform({
  position: new Vector3(5, 1, 5)
}))
sign.addComponent(new TextShape(""Welcome to Decentraland!""))

// Define a material to color the sign red
const signMaterial = new Material()
signMaterial.albedoColor = Color3.Red()

// Assign the material to the door
sign.addComponent(signMaterial)

engine.addEntity(sign)"
/* scene model from underwater.gltf */,"const door = createDoor();

// Add a sound component to play a sound when the door opens or closes
const doorSound = new AudioClip('sounds/door-open-close.mp3')
const doorAudioSource = new AudioSource(doorSound)
door.addComponent(doorAudioSource)

// Modify the toggleDoor function to play a sound when the door opens or closes
function toggleDoorWithSound() {
  if (doorTransform.rotation.y === 0) {
    doorTransform.rotation.y = 1.57
    doorAudioSource.playOnce()
  } else {
    doorTransform.rotation.y = 0
    doorAudioSource.playOnce()
  }
}

// Update the OnClick event to trigger the toggleDoorWithSound function
door.addComponent(
  new OnClick(() => {
    toggleDoorWithSound()
  })
)"
/* on door hover */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}"
/* scene from theater glb */,"// create the entity 
const plane = new Entity()

// transform the entity to give it a position
plane.addComponentOrReplace(new Transform({
  position: new Vector3(2, 1, 2)
}))

// add shape to the entity 
plane.addComponentOrReplace(new PlaneShape())

// render entity in scene
engine.addEntity(plane)"
/* jukebox from gltf */ ,"// Add 3D model for scenery
const seaBed = new Entity()
seaBed.addComponent(new GLTFShape('models/Underwater.gltf'))
seaBed.addComponent(
  new Transform({
    position: new Vector3(8, 0, 8),
    scale: new Vector3(0.8, 0.8, 0.8),
  })
)
engine.addEntity(seaBed)"
/* fixed wall */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

//Add a shape component to the door Entity
const doorShape = new BoxShape()
door.addComponent(doorShape)"
/* creating door parent */,"/// --- Spawner function ---

function spawnCube(x: number, y: number, z: number) {
  // create the entity
  const cube = new Entity()

  // add a transform to the entity
  cube.addComponent(new Transform({ position: new Vector3(x, y, z) }))

  // add a shape to the entity
  cube.addComponent(new BoxShape())

  // add the entity to the engine
  engine.addEntity(cube)

  return cube
}

/// --- Spawn a cube ---

const cube = spawnCube(8, 1, 8)

cube.addComponent(
  new OnPointerDown(() => {
    cube.getComponent(Transform).scale.z *= 1.1
    cube.getComponent(Transform).scale.x *= 0.9

    spawnCube(Math.random() * 8 + 1, Math.random() * 8, Math.random() * 8 + 1)
  })
)"
/* add material to the door */,"// create the entity 
const plane = new Entity()

// transform the entity to give it a position
plane.addComponentOrReplace(new Transform({
  position: new Vector3(2, 1, 2)
}))

// add shape to the entity 
plane.addComponentOrReplace(new PlaneShape())

// render entity in scene
engine.addEntity(plane)"
/* scene from theater glb */,"// Create the player entity
const player = new Entity(""player"");
engine.addEntity(player);

// Add a transform component to the player
const playerTransform = new Transform({
  position: new Vector3(0, 0, 0),
  rotation: Quaternion.Euler(0, 0, 0),
  scale: new Vector3(1, 1, 1)
});
player.addComponentOrReplace(playerTransform);

// Add a GLTF shape component to the player
const playerGltf = new GLTFShape(""models/player.glb"");
player.addComponentOrReplace(playerGltf);"
/* add smoke */ ,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}"
/* create a cylinder */,"// create the entity 
const plane = new Entity()

// transform the entity to give it a position
plane.addComponentOrReplace(new Transform({
  position: new Vector3(2, 1, 2)
}))

// add shape to the entity 
plane.addComponentOrReplace(new PlaneShape())

// render entity in scene
engine.addEntity(plane)"
/* function to create a door entity */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

// Create a function to open and close the door
function toggleDoor() {
  if (doorTransform.rotation.y === 0) {
    doorTransform.rotation.y = 1.57
  } else {
    doorTransform.rotation.y = 0
  }
}

// Create a clicking event to trigger the toggleDoor function
door.addComponent(
  new OnClick(() => {
    toggleDoor()
  })
)"
/* creating door parent */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

// Add a sound component to play a sound when the door opens or closes
const doorSound = new AudioClip('sounds/door-open-close.mp3')
const doorAudioSource = new AudioSource(doorSound)
door.addComponent(doorAudioSource)

// Modify the toggleDoor function to play a sound when the door opens or closes
function toggleDoorWithSound() {
  if (doorTransform.rotation.y === 0) {
    doorTransform.rotation.y = 1.57
    doorAudioSource.playOnce()
  } else {
    doorTransform.rotation.y = 0
    doorAudioSource.playOnce()
  }
}"
/* create a class */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

// Create a function to open and close the door
function toggleDoor() {
  if (doorTransform.rotation.y === 0) {
    doorTransform.rotation.y = 1.57
  } else {
    doorTransform.rotation.y = 0
  }
}

// Create a clicking event to trigger the toggleDoor function
door.addComponent(
  new OnClick(() => {
    toggleDoor()
  })
)"
/* nft frame */,"// Create the player entity
const player = new Entity(""player"");
engine.addEntity(player);

// Add a transform component to the player
const playerTransform = new Transform({
  position: new Vector3(0, 0, 0),
  rotation: Quaternion.Euler(0, 0, 0),
  scale: new Vector3(1, 1, 1)
});
player.addComponentOrReplace(playerTransform);

// Add a GLTF shape component to the player
const playerGltf = new GLTFShape(""models/player.glb"");
player.addComponentOrReplace(playerGltf);"
/* defining door positions */,"// fixed wall
const wall1 = new Entity()
wall1.addComponent(
  new Transform({
    position: new Vector3(4.5, 1, 4.1),
    scale: new Vector3(4, 3, 0.05),
  })
)
wall1.addComponent(new BoxShape())
engine.addEntity(wall1)"
/* scene from theater glb */,"// Create wheel entities
const wheel = new Entity()
wheel.addComponent(new CylinderShape())
wheel.addComponent(
  new Transform({
    position: new Vector3(6, 2, 11.1),
    rotation: Quaternion.Euler(90, 0, 0),
    scale: new Vector3(1, 0.05, 1),
  })
)
engine.addEntity(wheel)"
/* create text */,"// NFT picture frame
const entity = new Entity()
const shapeComponent = new NFTShape(
  'ethereum://0x06012c8cf97bead5deae237070f9587f8e7a266d/229795',
  { color: Color3.Blue(), style: PictureFrameStyle.Gold_Carved }
)
entity.addComponent(shapeComponent)
entity.addComponent(
  new Transform({
    position: new Vector3(4, 1.5, 4),
  })
)
engine.addEntity(entity)"
/* function for interacting with the door */,"class MyBox extends Entity {
  constructor(position: Vector3) {
    super()
    this.addComponentOrReplace(
      new Transform({
        position,
        rotation: Quaternion.Euler(0, 0, 0),
        scale: new Vector3(1, 1, 1)
      })
    )

    this.addComponentOrReplace(new BoxShape())
  }
}

const myBox = new MyBox(new Vector3(5, 0, 5))

engine.addEntity(myBox)"
/* function to open and close the door */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

// Add a material component to the door Entity
const doorMaterial = new Material()
doorMaterial.albedoColor = Color3.FromHexString(""#8B5E3C"")
door.addComponent(doorMaterial)"
/* door material */,"// create new entity
const phone = new Entity()

// add its position
phone.addComponentOrReplace(new Transform({
  position: new Vector3(5, 1, 5),
  scale: new Vector3(0.5, 0.1, 0.2)
}))
phone.addComponentOrReplace(new BoxShape())

// add the enitities details
const material = new Material()
material.metallic = 0.9
material.roughness = 0.1

// add the details to the entity
phone.addComponent(material)

// add entity to the scene
engine.addEntity(phone)"
/* transform the door */,"class MyBox extends Entity {
  constructor(position: Vector3) {
    super()
    this.addComponentOrReplace(
      new Transform({
        position,
        rotation: Quaternion.Euler(0, 0, 0),
        scale: new Vector3(1, 1, 1)
      })
    )

    this.addComponentOrReplace(new BoxShape())
  }
}

const myBox = new MyBox(new Vector3(5, 0, 5))

engine.addEntity(myBox)"
/* create water */,"// Add Shark
const shark = new Entity()
shark.addComponent(new GLTFShape('models/shark.glb'))
shark.addComponent(
  new Transform({
    position: new Vector3(8, 3, 8),
  })
)
engine.addEntity(shark)"
/* function example */,"// ground
const floor = new Entity()
floor.addComponent(new GLTFShape('models/FloorBaseGrass.glb'))
floor.addComponent(
  new Transform({
    position: new Vector3(8, 0, 8),
    scale: new Vector3(1.6, 0.1, 1.6),
  })
)
engine.addEntity(floor)"
/* create fire */ ,"/* At the end of your scene’s index.ts file, add the following lines: */`
let avocado = engine.addEntity()

GltfContainer.create(avocado, {src: (""models/avocado.gltf""})

Transform.create(avocado, {
          position:  Vector3.create(3, 1, 3),
          scale: Vector3.create(10, 10, 10)
})"
/* create a cylinder */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

// Add a sound component to play a sound when the door opens or closes
const doorSound = new AudioClip('sounds/door-open-close.mp3')
const doorAudioSource = new AudioSource(doorSound)
door.addComponent(doorAudioSource)

// Modify the toggleDoor function to play a sound when the door opens or closes
function toggleDoorWithSound() {
  if (doorTransform.rotation.y === 0) {
    doorTransform.rotation.y = 1.57
    doorAudioSource.playOnce()
  } else {
    doorTransform.rotation.y = 0
    doorAudioSource.playOnce()
  }
}"
/* create a class */,"// NFT picture frame
const entity = new Entity()
const shapeComponent = new NFTShape(
  'ethereum://0x06012c8cf97bead5deae237070f9587f8e7a266d/229795',
  { color: Color3.Blue(), style: PictureFrameStyle.Gold_Carved }
)
entity.addComponent(shapeComponent)
entity.addComponent(
  new Transform({
    position: new Vector3(4, 1.5, 4),
  })
)
engine.addEntity(entity)"
/* changing color sphere onClick */,"//creates entity
const myEntity = new Entity()

// creates text shape
const myText = new TextShape(""Hello World!"")

// adds text shape to entity 
myEntity.addComponent(myText)"
/* function to open and close the door */,"// Create the player entity
const player = new Entity(""player"");
engine.addEntity(player);

// Add a transform component to the player
const playerTransform = new Transform({
  position: new Vector3(0, 0, 0),
  rotation: Quaternion.Euler(0, 0, 0),
  scale: new Vector3(1, 1, 1)
});
player.addComponentOrReplace(playerTransform);

// Add a GLTF shape component to the player
const playerGltf = new GLTFShape(""models/player.glb"");
player.addComponentOrReplace(playerGltf);"
/* ground */,"// create variable to hold cylinder
const cylinder = new Entity()

// we transform the component to set the position
// of the sphere in the scene
cylinder.addComponentOrReplace(new Transform({
  position: new Vector3(2, 1, 2)
}))
cylinder.addComponentOrReplace(new CylinderShape())


// add the sphere to the scene
engine.addEntity(cylinder)"
/* create a wheel */,"/* At the end of your scene’s index.ts file, add the following lines: */`
let avocado = engine.addEntity()

GltfContainer.create(avocado, {src: (""models/avocado.gltf""})

Transform.create(avocado, {
          position:  Vector3.create(3, 1, 3),
          scale: Vector3.create(10, 10, 10)
})"
/* jukebox from gltf */ ,"// Create an entity
const box = new Entity()

// Give the entity a shape
box.addComponent(new BoxShape())

// Add the entity to the engine
engine.addEntity(box)
// Remove an entity from the engine
engine.removeEntity(box)"
/* creating a animator */,"// Jukebox
const jukebox = new Entity()
jukebox.addComponent(new GLTFShape('models/Jukebox.gltf'))
jukebox.addComponent(
  new Transform({
    position: new Vector3(5, 0, 9.5),
    rotation: Quaternion.Euler(0, 180, 0),
    scale: new Vector3(0.6, 0.6, 0.6),
  })
)
engine.addEntity(jukebox)"
/* create box */ ,"// Define a material to color the door sides red
const doorMaterial = new Material()
doorMaterial.albedoColor = Color3.Red()
doorMaterial.metallic = 0.9
doorMaterial.roughness = 0.1"
/* nft frame */,"
const sign = new Entity()
sign.addComponentOrReplace(new Transform({
  position: new Vector3(5, 1, 5)
}))
sign.addComponent(new TextShape(""Welcome to Decentraland!""))

// Define a material to color the sign red
const signMaterial = new Material()
signMaterial.albedoColor = Color3.Red()

// Assign the material to the door
sign.addComponent(signMaterial)

engine.addEntity(sign)"
/* jukebox from gltf */ ,"import * as THREE from 'three';

// Create a new mesh and material for the water surface
const waterMesh = new THREE.Mesh(
  new THREE.PlaneGeometry(1000, 1000),
  new THREE.MeshBasicMaterial({ color: 0x0077be, transparent: true, opacity: 0.6 })
);

// Rotate the mesh to make it flat
waterMesh.rotation.x = -Math.PI / 2;"
/* create cone */,"// Create wheel entities
const wheel = new Entity()
wheel.addComponent(new CylinderShape())
wheel.addComponent(
  new Transform({
    position: new Vector3(6, 2, 11.1),
    rotation: Quaternion.Euler(90, 0, 0),
    scale: new Vector3(1, 0.05, 1),
  })
)
engine.addEntity(wheel)"
/* clickable plane */,"// fixed wall
const wall1 = new Entity()
wall1.addComponent(
  new Transform({
    position: new Vector3(4.5, 1, 4.1),
    scale: new Vector3(4, 3, 0.05),
  })
)
wall1.addComponent(new BoxShape())
engine.addEntity(wall1)"
/* create box */ ,"//creates entity
const myEntity = new Entity()

// creates text shape
const myText = new TextShape(""Hello World!"")

// adds text shape to entity 
myEntity.addComponent(myText)"
/* scene from theater glb */,"// Create wheel entities
const wheel = new Entity()
wheel.addComponent(new CylinderShape())
wheel.addComponent(
  new Transform({
    position: new Vector3(6, 2, 11.1),
    rotation: Quaternion.Euler(90, 0, 0),
    scale: new Vector3(1, 0.05, 1),
  })
)
engine.addEntity(wheel)"
/* create fire */ ,"// Create the player entity
const player = new Entity(""player"");
engine.addEntity(player);

// Add a transform component to the player
const playerTransform = new Transform({
  position: new Vector3(0, 0, 0),
  rotation: Quaternion.Euler(0, 0, 0),
  scale: new Vector3(1, 1, 1)
});
player.addComponentOrReplace(playerTransform);

// Add a GLTF shape component to the player
const playerGltf = new GLTFShape(""models/player.glb"");
player.addComponentOrReplace(playerGltf);"
/* create avocado */,"// creates sphere entity
const sphere = new Entity()
sphere.addComponentOrReplace(new Transform({
  position: new Vector3(5, 1, 5)
}))
sphere.addComponentOrReplace(new SphereShape())

engine.addEntity(sphere)"
/* add movement to the player */,"// create the entity 
const cone = new Entity()

// transform the entity to give it a position
cone.addComponentOrReplace(new Transform({
  position: new Vector3(2, 1, 2)
}))

// add shape to the entity 
cone.addComponentOrReplace(new ConeShape())

// render entity in scene
engine.addEntity(cone)"
/* create player */,"// Create the player entity
const player = new Entity(""player"");
engine.addEntity(player);

// Add a movement component to the player
const playerMovement = new MoveTransformComponent(new Vector3(0, 0, 10), new Vector3(0, 0, 10),
5);
player.addComponentOrReplace(playerMovement);"
/* scene model from underwater.gltf */,"// create and entity
const table = new Entity()

// transform the position of the table
table.addComponentOrReplace(new Transform({
  position: new Vector3(5, 0, 5),
  scale: new Vector3(3, 1, 3)
}))
table.addComponentOrReplace(new BoxShape())

// add table to the scene
engine.addEntity(table)"
/* scene model from underwater.gltf */,"class MyBox extends Entity {
  constructor(position: Vector3) {
    super()
    this.addComponentOrReplace(
      new Transform({
        position,
        rotation: Quaternion.Euler(0, 0, 0),
        scale: new Vector3(1, 1, 1)
      })
    )

    this.addComponentOrReplace(new BoxShape())
  }
}

const myBox = new MyBox(new Vector3(5, 0, 5))

engine.addEntity(myBox)"
/* creating a animator */,"// This parent entity holds the state for both door sides
const doorParent = new Entity()
doorParent.addComponent(
  new Transform({
    position: new Vector3(4, 1, 3)
  })
)"
/* jukebox from gltf */ ,"// fixed wall
const wall1 = new Entity()
wall1.addComponent(
  new Transform({
    position: new Vector3(4.5, 1, 4.1),
    scale: new Vector3(4, 3, 0.05),
  })
)
wall1.addComponent(new BoxShape())
engine.addEntity(wall1)"
/* create box */ ,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

// Add a material component to the door Entity
const doorMaterial = new Material()
doorMaterial.albedoColor = Color3.FromHexString(""#8B5E3C"")
door.addComponent(doorMaterial)"
/* create cylinder */,"import * as THREE from 'three';

// Create a new mesh and material for the water surface
const waterMesh = new THREE.Mesh(
  new THREE.PlaneGeometry(1000, 1000),
  new THREE.MeshBasicMaterial({ color: 0x0077be, transparent: true, opacity: 0.6 })
);

// Rotate the mesh to make it flat
waterMesh.rotation.x = -Math.PI / 2;"
/* transform the door */,"import * as THREE from 'three';

// Create a new mesh and material for the water surface
const waterMesh = new THREE.Mesh(
  new THREE.PlaneGeometry(1000, 1000),
  new THREE.MeshBasicMaterial({ color: 0x0077be, transparent: true, opacity: 0.6 })
);

// Rotate the mesh to make it flat
waterMesh.rotation.x = -Math.PI / 2;"
/* create cone */,"import * as THREE from 'three';

// Create a new mesh and material for the water surface
const waterMesh = new THREE.Mesh(
  new THREE.PlaneGeometry(1000, 1000),
  new THREE.MeshBasicMaterial({ color: 0x0077be, transparent: true, opacity: 0.6 })
);

// Rotate the mesh to make it flat
waterMesh.rotation.x = -Math.PI / 2;"
/* on door hover */,"function createDoor() {
  const door = new Entity('door')
  engine.addEntity(door)
  return door
}

const door = createDoor();

// Add a material component to the door Entity
const doorMaterial = new Material()
doorMaterial.albedoColor = Color3.FromHexString(""#8B5E3C"")
door.addComponent(doorMaterial)"
/* defining door positions */,"// Jukebox
const jukebox = new Entity()
jukebox.addComponent(new GLTFShape('models/Jukebox.gltf'))
jukebox.addComponent(
  new Transform({
    position: new Vector3(5, 0, 9.5),
    rotation: Quaternion.Euler(0, 180, 0),
    scale: new Vector3(0.6, 0.6, 0.6),
  })
)
engine.addEntity(jukebox)"
/* scene from theater glb */,"// Create the player entity
const player = new Entity(""player"");
engine.addEntity(player);

// Add a movement component to the player
const playerMovement = new MoveTransformComponent(new Vector3(0, 0, 10), new Vector3(0, 0, 10),
5);
player.addComponentOrReplace(playerMovement);"
